WT1_H3K4me3	WT2_H3K4me3	WT1_H3K27me3	WT2_H3K27me3	K4	K27	cluster	dis
CT010480.1	0.6003	0.3962	1.8266	1.7286	0.4982	1.7776	4	0.7027
Gm37028	0.6003	0.7364	2.1577	1.9146	0.6683	2.0361	4	0.7028
Gm26857	0.4265	0.5763	1.4668	1.4515	0.5014	1.4591	4	0.7028
Gm17044	0.3505	0.7364	1.4147	1.4356	0.5434	1.4252	4	0.703
Gm44659	1.3294	1.3663	1.5969	1.263	1.3478	1.43	4	0.703
Dcun1d4	0.4988	0.4709	1.8532	1.7018	0.4848	1.7775	4	0.7031
Gm5228	0.7841	1.1322	2.189	2.069	0.9582	2.129	4	0.7031
Gm24858	0.4988	0.7664	2.1365	1.8057	0.6326	1.9711	4	0.7032
Gm15585	0.7553	0.9613	1.1852	1.1686	0.8583	1.1769	4	0.7032
Gm26658	1.0468	0.9613	1.2259	1.129	1.004	1.1774	4	0.7033
Gm29513	0.6323	0.5069	1.2259	1.5597	0.5696	1.3928	4	0.7033
Gm18001	1.3685	1.4049	1.4668	1.3857	1.3867	1.4262	4	0.7034
Gm15429	0.5331	0.5763	1.8266	1.3173	0.5547	1.572	4	0.7035
Gm10248	0.4626	0.6425	2.0367	1.7416	0.5525	1.8891	4	0.7035
AC138667.2	0.6003	0.5763	1.4668	1.2449	0.5883	1.3558	4	0.7035
Gm25845	0.3505	0.6425	1.3967	1.688	0.4965	1.5423	4	0.7036
Gm12305	1.3488	0.9613	2.0594	2.0374	1.155	2.0484	4	0.7036
Gm4610	0.6323	1.037	2.1147	2.1104	0.8346	2.1125	4	0.7036
Gm37896	0.7841	0.7958	2.1577	2.0898	0.7899	2.1238	4	0.7036
Gm23018	0.7841	0.9084	1.0772	1.2815	0.8463	1.1794	4	0.7037
Gm25185	0.6323	0.5069	1.2054	1.6745	0.5696	1.4399	4	0.7037
Mir6412	0.4988	0.434	1.6429	1.7933	0.4664	1.7181	4	0.7037
Cndp1	0.6645	0.7958	1.0552	1.4356	0.7301	1.2454	4	0.7038
Gm43919	0.3505	0.5763	1.5969	1.6323	0.4634	1.6146	4	0.7039
Gm43158	0.4626	0.5763	1.9169	1.4988	0.5194	1.7078	4	0.704
Kif28	0.5331	0.7364	1.2851	1.2815	0.6347	1.2833	4	0.704
Gm22613	0.6645	0.8813	2.2497	1.8793	0.7729	2.0645	4	0.704
Gm40293	0.3505	0.6098	1.6875	1.8552	0.4801	1.7714	4	0.704
Gm40292	0.3505	0.6098	1.6875	1.8552	0.4801	1.7714	4	0.704
Mir6995	1.2479	1.037	1.2654	1.1884	1.1425	1.2269	4	0.7041
Sbk2	0.9978	0.8813	2.2597	1.9716	0.9396	2.1157	4	0.7041
Tmco5	0.4626	0.5763	1.8789	1.9264	0.5194	1.9027	4	0.7041
4933430H16Rik	1.3685	1.4797	1.4668	1.5296	1.4241	1.4982	4	0.7041
AL645745.1	0.4265	0.7058	1.9169	1.9939	0.5661	1.9554	4	0.7042
AC163354.2	0.4988	0.6425	1.2054	1.545	0.5706	1.3752	4	0.7043
Gm45074	1.184	1.2437	1.1217	1.369	1.2138	1.2454	4	0.7044
A230087F16Rik	1.1401	1.2222	2.2095	1.9264	1.1812	2.0679	4	0.7045
Cyp4f15	0.5666	0.7058	1.5811	1.1493	0.6362	1.3652	4	0.7045
AC131760.1	1.117	1.3857	1.8918	1.2073	1.2514	1.5495	4	0.7046
Gm11417	0.4988	0.4709	1.4319	1.5748	0.4848	1.5034	4	0.7046
Gm3933	0.4265	0.5763	1.3606	1.5748	0.5014	1.4677	4	0.7047
Ly6k	0.7251	0.7664	1.1217	1.2992	0.7457	1.2105	4	0.7047
Gm25750	0.8123	0.8536	1.1641	1.1884	0.8329	1.1763	4	0.7047
Gm13771	0.8953	1.0854	1.1427	1.1884	0.9904	1.1656	4	0.7048
Gm13802	0.9214	0.8254	2.1994	2.069	0.8734	2.1342	4	0.7048
AC155713.1	0.9978	1.037	0.9855	1.419	1.0174	1.2022	4	0.7048
4930599A14Rik	0.4265	0.542	1.3967	1.6466	0.4843	1.5217	4	0.7049
Gm7693	0.9731	0.434	1.2851	1.4356	0.7035	1.3604	4	0.7049
Gm23464	0.9471	1.3465	1.5331	1.0881	1.1468	1.3106	4	0.7049
Gm8192	0.7553	0.4709	1.2851	1.4027	0.6131	1.3439	4	0.705
Gm23780	0.6323	0.7364	2.1683	1.9377	0.6843	2.053	4	0.705
AC124421.1	0.8679	1.2004	1.1427	1.2259	1.0341	1.1843	4	0.7052
Gm24464	0.7841	0.6745	2.0594	2.1306	0.7293	2.095	4	0.7054
Gm22645	0.6951	0.5763	2.1365	1.8307	0.6357	1.9836	4	0.7055
Gm15942	0.4626	0.5763	1.7999	1.3857	0.5194	1.5928	4	0.7056
Stab2	0.3505	0.6098	1.5331	1.8432	0.4801	1.6881	4	0.7056
Gm45473	0.7251	0.6745	1.2054	1.263	0.6998	1.2342	4	0.7056
1700121C08Rik	0.4626	0.8536	1.9661	2.0898	0.6581	2.0279	4	0.7056
Gm25562	0.6003	0.3962	1.7587	1.8552	0.4982	1.807	4	0.7056
Gm24898	0.6645	0.6098	1.1852	1.3857	0.6371	1.2855	4	0.7057
Gm15544	0.7251	0.7958	1.3785	1.0881	0.7604	1.2333	4	0.7058
Clrn1	1.117	0.987	2.189	2.069	1.052	2.129	4	0.7058
Olfr554	0.3505	0.6425	1.3967	1.6323	0.4965	1.5145	4	0.7058
Gm45173	0.6003	1.1776	1.3231	1.1686	0.8889	1.2459	4	0.7059
Gm14453	1.3098	1.5331	1.6875	1.903	1.4214	1.7953	4	0.706
Gm45548	1.206	1.0122	1.2259	1.1884	1.1091	1.2071	4	0.706
Gm17169	0.229	0.8536	1.6429	1.7803	0.5413	1.7116	4	0.706
AC108846.2	0.4265	0.6425	1.9778	1.8184	0.5345	1.8981	4	0.706
AC167244.2	0.3885	0.5763	1.6276	1.4678	0.4824	1.5477	4	0.7061
Acacb	0.9471	1.0854	2.2095	2.0796	1.0163	2.1445	4	0.7062
Gm9731	0.4265	0.542	1.6727	1.4515	0.4843	1.5621	4	0.7062
Ddc	0.3505	0.8813	1.2461	1.545	0.6159	1.3955	4	0.7063
Crygb	0.3885	0.5763	1.4494	1.5597	0.4824	1.5046	4	0.7064
Gm12862	1.4431	1.3265	1.8789	1.903	1.3848	1.891	4	0.7064
Gm28676	0.7251	0.6098	2.025	2.0898	0.6674	2.0574	4	0.7064
Gm23171	0.6003	0.8813	1.0086	1.6466	0.7408	1.3276	4	0.7064
Rps4l-ps	0.4626	0.7664	1.3045	1.3173	0.6145	1.3109	4	0.7065
Gm17224	0.9471	0.8254	2.1786	2.1003	0.8862	2.1394	4	0.7065
Slc22a13	0.5666	0.5763	1.2259	1.4834	0.5714	1.3546	4	0.7065
Gm43735	0.6645	0.7058	1.1641	1.3173	0.6851	1.2407	4	0.7065
Gm3279	0.6003	0.5069	1.3785	1.369	0.5536	1.3738	4	0.7065
Gm13195	0.9214	0.5069	2.0594	1.9716	0.7142	2.0155	4	0.7067
Aqp9	1.269	1.4977	1.9661	1.6182	1.3834	1.7921	4	0.7067
AC091783.1	0.4988	0.8254	1.1641	1.4027	0.6621	1.2834	4	0.7068
Gm24432	0.4988	0.8254	1.1641	1.4027	0.6621	1.2834	4	0.7068
Trem1	0.4626	0.7664	1.2054	1.4356	0.6145	1.3205	4	0.7069
Cr2	0.8953	0.7058	2.0133	2.2088	0.8005	2.1111	4	0.7069
Gm12722	0.6003	0.6745	1.5331	1.1493	0.6374	1.3412	4	0.707
Gm16554	0.4265	0.6098	1.8135	1.4027	0.5181	1.6081	4	0.707
Gm13500	0.6645	0.6425	1.0772	1.5893	0.6535	1.3333	4	0.707
Gm19172	0.3885	0.7364	1.9294	1.949	0.5624	1.9392	4	0.7071
Gm26324	0.6003	0.6745	1.1217	1.4834	0.6374	1.3025	4	0.7071
C230071H17Rik	0.8123	0.9084	1.0321	1.3346	0.8604	1.1833	4	0.7072
Gm15374	0.5331	0.5069	1.3785	1.4515	0.52	1.415	4	0.7072
4930429H19Rik	0.8679	0.8536	2.2397	2.0158	0.8607	2.1277	4	0.7072
Gm13673	0.3115	0.8254	1.4668	1.4027	0.5684	1.4347	4	0.7073
Gm42610	0.4988	0.7364	1.2054	1.4027	0.6176	1.3041	4	0.7073
Gm10142	0.8679	1.0614	1.2654	1.0881	0.9647	1.1768	4	0.7074
Gm24648	1.1622	1.0614	2.2889	1.7018	1.1118	1.9954	4	0.7074
Gm11507	0.5331	0.3962	1.6276	1.7018	0.4646	1.6647	4	0.7075
Gm12709	0.4265	0.5069	1.5494	1.545	0.4667	1.5472	4	0.7076
AC124577.2	0.9731	1.0122	0.9855	1.4027	0.9926	1.1941	4	0.7076
AC124577.1	0.9731	1.0122	0.9855	1.4027	0.9926	1.1941	4	0.7076
Gm42761	1.2892	1.5675	1.7999	1.6745	1.4284	1.7372	4	0.7078
Gm23319	0.6645	0.7664	1.0321	1.5145	0.7154	1.2733	4	0.7079
Gm17072	0.7553	0.6425	1.0996	1.419	0.6989	1.2593	4	0.7079
Gm45732	0.8408	1.0122	1.0996	1.2259	0.9265	1.1628	4	0.7079
Gm14300	0.4988	0.542	1.517	1.3522	0.5204	1.4346	4	0.708
Gm16567	0.5331	0.5763	2.0133	1.4988	0.5547	1.756	4	0.7081
Gm44903	0.3505	0.6745	1.8789	1.8307	0.5125	1.8548	4	0.7082
AC103936.1	0.6003	0.4709	1.8532	1.4027	0.5356	1.628	4	0.7083
BB365896	1.3874	1.2437	1.5969	1.2259	1.3155	1.4114	4	0.7083
Gm8762	0.5666	0.6425	2.0594	1.9605	0.6045	2.0099	4	0.7083
AC158238.2	0.4988	0.9084	2.0929	2.0158	0.7036	2.0543	4	0.7083
Gm42706	0.3115	0.7958	1.4668	1.419	0.5536	1.4429	4	0.7085
Capn13	0.4988	0.5763	2.025	1.7018	0.5375	1.8634	4	0.7086
AC168056.2	0.4988	0.434	1.7022	1.5748	0.4664	1.6385	4	0.7087
AC090659.2	0.7841	0.8254	2.1147	2.1603	0.8047	2.1375	4	0.7088
AC165159.1	0.3885	0.6425	1.5969	1.369	0.5155	1.483	4	0.7088
1700016L21Rik	0.3885	0.6425	1.4319	1.4356	0.5155	1.4338	4	0.7088
Lime1	1.1401	1.0122	1.1427	1.2259	1.0762	1.1843	4	0.7088
CT030709.2	0.5666	0.434	1.4834	1.4678	0.5003	1.4756	4	0.7088
Scg3	0.9471	1.0122	2.2397	2.0479	0.9797	2.1438	4	0.7088
Gm37679	0.4265	0.542	1.745	1.4678	0.4843	1.6064	4	0.709
AC166370.1	0.8123	0.9351	2.2693	1.9716	0.8737	2.1205	4	0.7091
Gm24133	0.9471	1.0614	0.9855	1.4027	1.0043	1.1941	4	0.7091
Dnah5	0.4626	0.5763	1.9294	1.4988	0.5194	1.7141	4	0.7092
Mettl11b	0.8123	0.6098	1.2654	1.2259	0.711	1.2457	4	0.7093
Macc1	0.3885	0.542	1.6276	1.8432	0.4652	1.7354	4	0.7095
Olfr278-ps1	0.6323	0.7664	2.2397	1.6604	0.6993	1.95	4	0.7095
AC152819.1	0.5666	0.5069	1.5331	1.3173	0.5367	1.4252	4	0.7096
Trpv5	0.3505	0.8536	1.6276	1.2815	0.602	1.4546	4	0.7096
Gm16254	0.6003	0.5763	1.2851	1.3522	0.5883	1.3186	4	0.7096
Gm13183	0.7251	0.3962	1.342	1.5145	0.5606	1.4282	4	0.7097
Teddm1b	0.3505	0.6745	1.7587	1.949	0.5125	1.8539	4	0.7098
Gm42885	1.2271	1.3265	1.1217	1.4988	1.2768	1.3102	4	0.7099
Gm25100	0.4626	0.8813	1.3045	1.263	0.6719	1.2838	4	0.7099
Gm17571	0.7841	1.0854	1.0996	1.2449	0.9348	1.1723	4	0.7099
Ces2a	0.3885	0.6098	1.3606	1.7803	0.4991	1.5705	4	0.71
Gm24803	0.3885	0.542	1.5656	1.545	0.4652	1.5553	4	0.71
4930458A03Rik	0.4626	0.6425	2.0479	1.7416	0.5525	1.8947	4	0.71
Gm45723	0.2702	0.7664	1.7163	1.5145	0.5183	1.6154	4	0.7102
Gm18765	0.6003	0.542	1.2461	1.4515	0.5711	1.3488	4	0.7104
Crxos	0.5666	0.6745	1.4494	1.1884	0.6205	1.3189	4	0.7104
Gm37402	0.3505	0.6745	1.4834	1.4356	0.5125	1.4595	4	0.7105
Tpo	0.4265	0.5069	1.7727	1.7933	0.4667	1.783	4	0.7106
Mir6414	0.4265	0.542	1.3967	1.5893	0.4843	1.493	4	0.7106
Mc2r	0.6951	1.2437	1.4494	1.0881	0.9694	1.2688	4	0.7107
Gm31579	0.5666	0.6745	2.0018	2.069	0.6205	2.0354	4	0.7107
Gm23763	0.3115	0.7958	1.4147	1.4515	0.5536	1.4331	4	0.7108
1700034J04Rik	1.5821	1.2004	1.7587	1.7018	1.3912	1.7303	4	0.7108
Gm18307	0.8953	0.6745	2.147	2.0587	0.7849	2.1028	4	0.7108
AC163343.1	0.5331	0.7058	2.0594	1.9939	0.6194	2.0266	4	0.7108
Madcam1	1.3488	1.5155	1.7999	1.8057	1.4322	1.8028	4	0.7108
AC167140.1	0.4988	0.5069	1.9415	1.7018	0.5028	1.8216	4	0.7109
Rho	0.8123	1.1551	2.308	1.7803	0.9837	2.0442	4	0.7111
Oas3	0.9978	0.7958	2.308	1.6604	0.8968	1.9842	4	0.7112
Gm24867	1.0704	1.1551	2.2197	2.0158	1.1127	2.1177	4	0.7112
Gm7776	0.5331	0.3962	1.5656	1.7286	0.4646	1.6471	4	0.7114
Mir299a	0.8679	0.8254	1.2259	1.129	0.8466	1.1774	4	0.7115
Gm12307	1.2892	1.0614	1.2461	1.2259	1.1753	1.236	4	0.7115
Best4-ps	1.3294	1.2222	2.104	1.9264	1.2758	2.0152	4	0.7115
Gm15744	0.4988	0.6098	1.4834	1.2815	0.5543	1.3825	4	0.7115
1810020O05Rik	0.3885	0.542	1.7862	1.7416	0.4652	1.7639	4	0.7118
1700017I07Rik	0.2702	0.7058	1.7163	1.6466	0.488	1.6815	4	0.7119
Gm8407	0.4988	0.7364	1.3967	1.2259	0.6176	1.3113	4	0.7119
4933427I04Rik	0.4626	0.8254	1.9538	2.1003	0.644	2.0271	4	0.712
B430319H21Rik	1.0942	0.5763	2.0367	2.0587	0.8353	2.0477	4	0.712
Gm13002	0.8123	1.2857	2.2095	1.9605	1.049	2.085	4	0.7121
Smlr1	0.6645	0.7058	1.1427	1.3346	0.6851	1.2387	4	0.7121
Gm5284	0.4988	0.6425	1.2259	1.4678	0.5706	1.3468	4	0.7121
Gm16126	0.4626	0.4709	1.5969	1.5145	0.4668	1.5557	4	0.7122
Fer1l6	0.4626	0.9613	2.0707	2.0158	0.7119	2.0433	4	0.7122
Gm23686	0.5331	0.5069	1.3045	1.545	0.52	1.4247	4	0.7122
AC093926.1	0.8123	0.9084	1.1217	1.2073	0.8604	1.1645	4	0.7123
AC163342.2	0.8679	0.7364	2.2299	1.9716	0.8021	2.1007	4	0.7123
Gm37245	0.4265	0.5069	1.8135	1.6745	0.4667	1.744	4	0.7124
AC134468.2	0.8123	0.7958	1.0086	1.419	0.804	1.2138	4	0.7124
Gm37007	0.6645	0.6745	2.0479	2.1003	0.6695	2.0741	4	0.7125
Gm16337	0.8123	0.6745	1.3045	1.1493	0.7434	1.2269	4	0.7126
Gm21984	0.7553	1.2648	1.0772	1.369	1.0101	1.2231	4	0.7126
Gm25216	0.6003	0.6425	2.104	1.9377	0.6214	2.0209	4	0.7126
Gm27782	1.1622	0.987	1.0996	1.2815	1.0746	1.1906	4	0.7126
Gm6257	0.7251	0.7364	2.1257	2.0898	0.7307	2.1077	4	0.7127
AC154595.3	0.5666	0.4709	1.3045	1.5893	0.5187	1.4469	4	0.7129
1700061G19Rik	0.7553	0.987	1.9899	2.2827	0.8711	2.1363	4	0.7129
Rbmx2-ps	0.3115	0.6745	1.7163	1.4988	0.493	1.6075	4	0.713
Trbv12-2	1.3488	1.4049	1.2654	1.5597	1.3769	1.4126	4	0.713
1700023G09Rik	0.6951	0.3573	1.84	1.8057	0.5262	1.8228	4	0.7131
Gm37095	0.4988	0.6425	1.4494	1.263	0.5706	1.3562	4	0.7133
Gm22312	0.6003	0.987	1.2851	1.1493	0.7936	1.2172	4	0.7134
Gm37114	0.6003	0.5069	1.2654	1.4834	0.5536	1.3744	4	0.7134
Gm13174	0.8679	0.4709	2.104	1.7933	0.6694	1.9486	4	0.7134
Gm37458	0.4265	0.7958	1.6126	1.2073	0.6112	1.4099	4	0.7134
4930447N08Rik	0.8679	0.8536	0.9366	1.6041	0.8607	1.2703	4	0.7135
Gm8186	1.4615	1.1322	1.4319	1.2992	1.2969	1.3656	4	0.7135
Olfr1329	0.2702	0.7664	1.7999	1.8057	0.5183	1.8028	4	0.7136
Gm24135	0.7251	1.109	1.0321	1.369	0.9171	1.2006	4	0.7137
Ccl5	0.5666	0.7364	1.1852	1.3346	0.6515	1.2599	4	0.7139
Gm12962	0.4265	0.8813	2.0367	1.9939	0.6539	2.0153	4	0.7139
Gast	0.6323	0.8254	1.7022	2.3185	0.7288	2.0103	4	0.7139
A630050E04Rik	0.4988	0.6425	1.3785	1.2992	0.5706	1.3389	4	0.7141
Gm23132	0.5331	0.542	1.3045	1.4515	0.5375	1.378	4	0.7142
H3f3c	1.4431	1.3465	1.3785	1.4834	1.3948	1.4309	4	0.7142
Gm12417	0.4626	0.5069	1.8532	1.545	0.4847	1.6991	4	0.7142
Gm24211	1.0229	0.8254	1.0772	1.2815	0.9241	1.1794	4	0.7143
Gm37950	0.7841	0.8254	2.0929	2.1897	0.8047	2.1413	4	0.7143
1700034O15Rik	0.5666	0.7958	1.2851	1.2073	0.6812	1.2462	4	0.7144
Gm24221	0.4265	0.5069	1.5494	1.5145	0.4667	1.532	4	0.7144
Gm37648	0.7553	0.7664	1.1427	1.2449	0.7608	1.1938	4	0.7144
Gm23812	0.6645	0.5763	1.3231	1.263	0.6204	1.2931	4	0.7144
Gm20940	1.184	1.3063	2.0707	2.069	1.2451	2.0699	4	0.7145
Foxn3	0.6003	0.6745	1.1852	1.3522	0.6374	1.2687	4	0.7145
AL589737.1	0.4626	0.5069	1.3967	1.5597	0.4847	1.4782	4	0.7146
Gm11706	1.184	1.1322	1.0772	1.3522	1.1581	1.2147	4	0.7146
Gm43113	0.5331	0.6098	1.3045	1.3522	0.5714	1.3284	4	0.7146
Gm8099	0.4988	0.5069	1.9169	1.8307	0.5028	1.8738	4	0.7147
Gm6081	0.8123	0.7058	1.0772	1.3522	0.759	1.2147	4	0.7147
Gm6342	0.5331	0.5069	1.8532	1.9716	0.52	1.9124	4	0.7147
Gm6578	0.4265	0.7058	1.5331	1.263	0.5661	1.398	4	0.7147
Mir666	0.7553	0.5763	1.2461	1.2815	0.6658	1.2638	4	0.7147
Gm26843	0.4265	0.542	1.8135	1.8793	0.4843	1.8464	4	0.7148
Gm40055	0.3115	0.8254	1.342	1.4988	0.5684	1.4204	4	0.7148
Gm38098	0.3505	0.5763	1.6875	1.5597	0.4634	1.6236	4	0.7149
Tsga13	0.4265	0.7958	1.8266	2.1306	0.6112	1.9786	4	0.715
Gm19587	0.4988	0.6098	1.3967	1.3173	0.5543	1.357	4	0.715
Prss44	0.6951	0.6745	2.0594	2.1104	0.6848	2.0849	4	0.715
BC048502	0.4265	0.4709	1.6276	1.7286	0.4487	1.6781	4	0.7151
Gm38265	0.4988	0.5069	1.4834	1.4027	0.5028	1.443	4	0.7151
Gm22669	0.6323	0.4709	1.8266	2.0374	0.5516	1.932	4	0.7151
Fam47e	0.7553	0.9351	1.0321	1.3346	0.8452	1.1833	4	0.7151
2200002J24Rik	1.117	0.987	2.2889	1.8793	1.052	2.0841	4	0.7152
AC163670.1	0.4988	0.434	1.4668	1.6604	0.4664	1.5636	4	0.7152
Gm26683	1.0704	0.987	1.1427	1.1884	1.0287	1.1656	4	0.7152
Gm37881	0.8408	0.6098	2.0133	2.1506	0.7253	2.0819	4	0.7153
Gm5075	1.4431	1.1322	1.9661	2.005	1.2877	1.9856	4	0.7153
Gm24838	0.5331	0.6745	1.1217	1.6041	0.6038	1.3629	4	0.7155
Gm12442	0.3505	0.5763	1.5656	1.5597	0.4634	1.5627	4	0.7155
Gm15606	0.5666	0.6425	2.0133	2.0374	0.6045	2.0253	4	0.7155
Scd4	0.6645	0.8536	2.1786	2.0479	0.759	2.1132	4	0.7155
Mir6338	0.4988	0.9351	1.1852	1.3173	0.7169	1.2513	4	0.7156
Gm5082	0.8679	0.9351	1.3231	1.0461	0.9015	1.1846	4	0.7157
Gm23582	1.0942	0.8813	1.0552	1.3173	0.9878	1.1862	4	0.7158
Gm11433	0.6645	0.6425	2.0479	2.0796	0.6535	2.0638	4	0.7158
Gm44962	0.3885	0.5763	1.5494	1.4515	0.4824	1.5005	4	0.7158
Gm43984	0.9731	0.9084	1.0772	1.2449	0.9407	1.1611	4	0.7159
AC133496.1	0.7251	0.4709	1.2654	1.419	0.598	1.3422	4	0.7159
Slc9b1	0.4626	0.5069	1.5003	1.4515	0.4847	1.4759	4	0.716
AC153937.4	0.5666	1.109	1.2259	1.2259	0.8378	1.2259	4	0.716
Nckap5los	0.8953	1.2222	1.4147	1.0461	1.0587	1.2304	4	0.716
4930480C01Rik	1.206	1.3857	1.2461	1.3346	1.2959	1.2903	4	0.716
Gm12969	0.5666	0.5069	2.025	1.6745	0.5367	1.8497	4	0.716
Gm25488	0.4265	0.6425	1.2461	1.6182	0.5345	1.4322	4	0.7161
Gm44069	1.0704	0.9084	1.0552	1.2992	0.9894	1.1772	4	0.7161
Scn7a	0.9214	0.987	1.0996	1.2073	0.9542	1.1535	4	0.7161
Gm5670	0.6951	0.9351	2.1994	2.0587	0.8151	2.129	4	0.7162
Gm16013	0.7251	0.7664	2.1365	2.1003	0.7457	2.1184	4	0.7162
AC131743.3	0.9471	0.9613	2.1994	2.1207	0.9542	2.1601	4	0.7163
Gm8145	0.5666	1.0854	1.2654	1.1884	0.826	1.2269	4	0.7165
AC136743.1	0.5331	0.4709	1.4494	1.4356	0.502	1.4425	4	0.7166
Gm5460	0.3885	0.5069	1.5969	1.6745	0.4477	1.6357	4	0.7166
Gm24806	0.6003	0.6745	1.2654	1.263	0.6374	1.2642	4	0.7166
Mir6363	0.5331	0.7058	1.3967	1.2073	0.6194	1.302	4	0.7167
AC126275.2	0.4626	0.7664	1.2654	1.3346	0.6145	1.3	4	0.7167
Gm45824	0.8123	1.1322	2.2984	1.8793	0.9723	2.0888	4	0.7167
AC147639.2	0.4626	0.5763	1.3606	1.4356	0.5194	1.3981	4	0.7167
Gm38223	0.9731	0.6745	1.1217	1.2992	0.8238	1.2105	4	0.7167
Gm26510	1.5316	1.3465	1.7163	1.6745	1.4391	1.6954	4	0.7167
Gm37259	1.4065	1.4425	1.517	1.4515	1.4245	1.4843	4	0.7168
Gm22174	0.2702	0.8536	1.8789	1.8184	0.5619	1.8487	4	0.7168
F10	1.117	0.8536	2.147	2.1207	0.9853	2.1338	4	0.7169
Gm19898	0.7841	0.9613	1.0552	1.2815	0.8727	1.1684	4	0.7169
Gm23841	0.4988	0.5763	1.5003	1.2992	0.5375	1.3998	4	0.717
AC166361.2	0.6003	0.8536	1.342	1.129	0.7269	1.2355	4	0.7171
Gm21885	1.0704	1.5331	1.2654	1.4356	1.3017	1.3505	4	0.7171
Trcg1	0.3885	0.5069	1.6727	1.6745	0.4477	1.6736	4	0.7171
Gm12534	0.3885	0.5069	1.6126	1.6466	0.4477	1.6296	4	0.7171
Gm24469	0.4265	0.5763	1.4834	1.4027	0.5014	1.443	4	0.7171
AC183268.1	0.229	0.8813	1.5969	1.5145	0.5551	1.5557	4	0.7172
Gm17023	0.4988	0.8813	1.2259	1.2815	0.69	1.2537	4	0.7172
Gm4832	0.6003	0.6425	1.1427	1.4515	0.6214	1.2971	4	0.7172
Gm24855	0.4988	0.7058	2.1365	1.7416	0.6023	1.939	4	0.7173
Slc2a4rg-ps	1.0704	0.8536	0.9855	1.4515	0.962	1.2185	4	0.7173
AC162893.1	0.5331	0.434	1.4494	1.5296	0.4835	1.4895	4	0.7173
Gm11418	0.6003	0.3573	1.5811	1.7933	0.4788	1.6872	4	0.7174
AC113439.1	0.4988	0.7364	1.2259	1.3522	0.6176	1.289	4	0.7175
Gm43102	0.4626	0.7364	1.2259	1.4027	0.5995	1.3143	4	0.7175
AC120540.2	1.117	1.037	1.9899	2.2738	1.077	2.1318	4	0.7176
Olfr431-ps1	0.4988	0.6425	1.3967	1.2815	0.5706	1.3391	4	0.7178
Gm15913	0.5666	0.8254	1.0552	1.4988	0.696	1.277	4	0.7179
4930504O13Rik	0.5666	0.6745	1.1427	1.4515	0.6205	1.2971	4	0.718
Gm13274	0.3505	0.6425	1.5811	1.419	0.4965	1.5001	4	0.7181
Akt2-ps	0.7553	0.3573	1.4319	1.4678	0.5563	1.4498	4	0.7181
Gdf3	0.7841	0.8254	1.0772	1.2815	0.8047	1.1794	4	0.7182
Gm28873	1.3685	1.5331	1.5003	1.6745	1.4508	1.5874	4	0.7182
A930014E10Rik	0.3115	0.6425	1.4668	1.6323	0.477	1.5495	4	0.7183
Gm29245	0.6003	0.434	1.7862	1.4027	0.5171	1.5945	4	0.7183
n-R5s183	1.3294	1.2437	1.1641	1.4356	1.2865	1.2999	4	0.7184
Gm45626	0.6323	0.6425	1.342	1.2073	0.6374	1.2746	4	0.7186
Gm34091	0.6645	0.5069	2.0929	1.7545	0.5857	1.9237	4	0.7186
E330021D16Rik	0.7841	0.7364	1.4834	1.0461	0.7602	1.2648	4	0.7186
Gm36431	0.9471	1.0614	2.1577	2.1702	1.0043	2.164	4	0.7187
Gm37201	0.8408	0.6098	2.1994	1.891	0.7253	2.0452	4	0.7188
Gm13837	0.3505	0.7364	1.2654	1.688	0.5434	1.4767	4	0.7188
AC134860.3	0.6645	0.7364	1.1427	1.2992	0.7004	1.221	4	0.7189
Gm24475	0.3505	0.8254	1.4494	1.3173	0.5879	1.3834	4	0.7189
2310079G19Rik	0.3115	0.7058	1.3967	1.5597	0.5086	1.4782	4	0.719
AC118249.1	0.3885	0.5069	1.5656	1.715	0.4477	1.6403	4	0.7191
Gm37647	0.4626	0.6425	1.5331	1.263	0.5525	1.398	4	0.7191
Gm43597	0.8679	0.542	1.2461	1.2815	0.705	1.2638	4	0.7191
Gm19434	0.6645	0.9613	2.2792	1.8671	0.8129	2.0731	4	0.7192
AL603630.2	0.4988	0.434	1.517	1.545	0.4664	1.531	4	0.7194
AC079680.4	0.7553	1.0854	0.9613	1.4988	0.9204	1.23	4	0.7194
Gm43283	0.4265	0.542	1.5656	1.419	0.4843	1.4923	4	0.7194
Gm29325	0.6003	0.3573	1.6875	1.5748	0.4788	1.6312	4	0.7194
Pck1	0.8408	1.1551	2.1683	2.1306	0.9979	2.1495	4	0.7195
Gm25071	0.6323	0.7058	1.3045	1.1884	0.669	1.2465	4	0.7195
9230112E08Rik	1.4967	1.3265	1.6875	1.4356	1.4116	1.5616	4	0.7196
Gm18935	0.6323	0.7664	1.0772	1.4027	0.6993	1.24	4	0.7196
Gm44404	0.6323	0.542	1.2259	1.419	0.5871	1.3224	4	0.7197
Gm13459	0.6323	0.7364	1.0996	1.3857	0.6843	1.2427	4	0.7197
Gm16303	0.5331	0.6745	1.3045	1.2815	0.6038	1.293	4	0.7197
Gm17806	0.3115	0.8536	1.2654	1.6466	0.5825	1.456	4	0.7197
Gm11749	0.7553	0.7058	2.1994	1.9829	0.7305	2.0912	4	0.7199
Gm22055	0.5331	0.6745	1.2054	1.3857	0.6038	1.2955	4	0.72
Insl5	0.4626	0.7364	1.342	1.2815	0.5995	1.3118	4	0.72
